Mosaic;Tegel;Indicator;Eenheid;Periode;buurt of wijk / dimensie;Waarde;Bron;Omschrijving
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"St.Marten/Sonsbeek";"5715";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Arnhem";"169325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Klarendal";"7230";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Arnhem";"169325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Velperweg e.o.";"9325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Arnhem";"169325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Alteveer/Cranevelt";"3505";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Arnhem";"169325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Geitenkamp";"3805";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Arnhem";"169325";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
"Bevolking (buurt/wijk)";"Bevolking";"bevolking";"aantal personen";"2025";"Monnikenhuizen";"4435";"Basisregistratie personen (BRP); gemeente Arnhem";"Aantal inwoners in een gebied naar kenmerk\n- geslacht\n- burgerlijke staat\n- leeftijd\n- herkomstgroep \n- herkomstland\n\nPer 2022 nieuwe indeling bevolking naar herkomst (voorheen: migratieachtergrond)\nMeer informatie: <a href=\"https://www.cbs.nl/nl-nl/longread/statistische-trends/2022/nieuwe-indeling-bevolking-naar-herkomst\"> CBS publicatie</a>";
